,Name,Price,Image,Link
801,Black Abstract Print Shirt,"Rs.2,890",//attirstore.com/cdn/shop/files/8_2ce2371b-a5f2-4109-b154-f93685373f2a.jpg?v=1707116728&width=533,/products/black-abstract-print-shirt-ss24
802,Geometric Print Shirt,"Rs.2,890",//attirstore.com/cdn/shop/files/16_8dfe9b6b-ced6-4b62-84f1-69787d0631f0.jpg?v=1707116634&width=533,/products/geometric-print-shirt-ss24
803,Denim Over-shirt with Pockets,"Rs.2,990",//attirstore.com/cdn/shop/products/image_96297f85-d728-4f07-aba2-d3692cc24bb3.jpg?v=1681126153&width=533,/products/denim-over-shirt-with-pockets
804,Oversized Shirt in Indigo Flannel Weave,"Rs.3,490",//attirstore.com/cdn/shop/files/F51C1CF2-FC01-43C3-8067-B5882D215ED7.jpg?v=1703575615&width=533,/products/oversized-shirt-in-indigo-flannel-weave-w23
805,Mid Square  Sunglasses in Yellow,"Rs.2,390",//attirstore.com/cdn/shop/files/image_5093ca78-960f-42f4-9cb8-63cbacdd2f11.png?v=1691049135&width=533,/products/mid-square-sunglasses-in-yellow
806,Cropped Denim Shirt,"Rs.2,890",//attirstore.com/cdn/shop/products/43_0383a461-9979-41b0-92ce-0d68190f072b.jpg?v=1690185117&width=533,/products/cropped-denim-shirt
807,Abstract Print Cropped Shirt,"Rs.2,490",//attirstore.com/cdn/shop/products/image_66f675f1-6c7c-40d1-a5fc-aac44a56c4b4.jpg?v=1681126319&width=533,/products/print-pocket-shirt-1
808,Geometric Print Cropped Shirt,"Rs.1,990",//attirstore.com/cdn/shop/products/66_6c51224c-4f56-472a-9823-b6ae6e0d679a.jpg?v=1690705094&width=533,/products/print-pocket-shirt-3
809,Long Shirt in Burgundy,"Rs.2,490",//attirstore.com/cdn/shop/products/DSC08170.jpg?v=1688931365&width=533,/products/long-shirt-in-burgundy
810,V Neck Blouse in Violet,"Rs.2,290",//attirstore.com/cdn/shop/products/DSC01363.jpg?v=1646918989&width=533,/products/v-neck-blouse-in-violet
811,Cotton Culottes in White,"Rs.3,490",//attirstore.com/cdn/shop/files/image00012_6e2a4493-d8d0-4831-ab17-b71e094a09c5.jpg?v=1718480493&width=533,/products/culottes-cotton-pants-in-white-summer-24
812,Cotton Culottes in Olive,"Rs.3,490",//attirstore.com/cdn/shop/files/image00001_f4c006d8-90cd-466f-8e29-88e3e27eef0e.jpg?v=1718449635&width=533,/products/culottes-cotton-pants-in-olive-summer-24
813,Cotton Culottes in Black,"Rs.3,490",//attirstore.com/cdn/shop/files/image000021.jpg?v=1718966700&width=533,/products/culottes-cotton-pants-in-black-summer-24
814,Culottes Trousers in Black,"Rs.2,990",//attirstore.com/cdn/shop/files/7_fb496473-2ec5-4809-ab6f-b7e774b725c1.jpg?v=1700221359&width=533,/products/culotte-trousers-in-black
815,Wide-Leg Pleated Pants in Charcoal,"Rs.5,490",//attirstore.com/cdn/shop/files/IMG_8114copy_83e1c817-6451-4493-9668-f5fd18f75834.jpg?v=1714665735&width=533,/products/wide-leg-pants-in-charcoal
816,Culottes Trousers in Brown,"Rs.2,990",//attirstore.com/cdn/shop/files/11-1_e3a177ec-7884-492b-8402-25940b8be1eb.jpg?v=1709720557&width=533,/products/culottes-trousers-in-brown
817,Rib-Knit Midi Skirt in Black,"Rs.2,390",//attirstore.com/cdn/shop/files/986ABE53-E0B9-4B77-A63E-AD850DFD282A.jpg?v=1713109335&width=533,/products/rib-knit-midi-skirt-in-black-ss24
818,Rib-Knit Midi Skirt in Amazon Green,"Rs.2,390",//attirstore.com/cdn/shop/files/4B028FBC-647C-44B0-952B-BCCC8E99FF25.jpg?v=1711382871&width=533,/products/rib-knit-midi-skirt-in-amazon-green-ss24
819,Wide-Leg  Pleated Pants in Beige,"Rs.5,490",//attirstore.com/cdn/shop/files/IMG_8006copy_c8c7dbbf-499f-4d58-8121-faaa83d2fc66.jpg?v=1714664985&width=533,/products/wide-leg-pants-in-beige
820,Wide-Leg Pleated Pants in Black,"Rs.5,490",//attirstore.com/cdn/shop/files/IMG_7913copy_8a524fb7-06a5-4de4-a48c-dbac9a3ccf6c.jpg?v=1714665199&width=533,/products/wide-leg-pants-in-black
821,Wide Leg Pleated Pants in Walnut Brown,"Rs.5,490",//attirstore.com/cdn/shop/files/IMG_8999.jpg?v=1709743015&width=533,/products/wide-leg-pleated-pants-in-walnut-brown-ss24
822,Corduroy Straight-Fit Pants in Chocolate Brown,"Rs.3,490",//attirstore.com/cdn/shop/files/814870F0-2367-4EE4-A13E-6A595DE84309.jpg?v=1716047178&width=533,/products/culottes-pants-in-corduroy-ss24
823,Corduroy Straight-Fit Pants in Nude,"Rs.3,490",//attirstore.com/cdn/shop/files/IMG_8169copy.jpg?v=1709745240&width=533,/products/culottes-pants-in-black-ss24
824,Wide-leg Trousers in Olive,"Rs.2,390",//attirstore.com/cdn/shop/files/IMG_9783copy.jpg?v=1709745994&width=533,/products/wide-leg-trousers-in-olive
825,Culottes Jean in Ice Blue,"Rs.3,490",//attirstore.com/cdn/shop/files/61751AAA-B857-465C-A2A1-0A6AB39AD943.jpg?v=1716047317&width=533,/products/culottes-jean-in-ice-wash-ss24
826,Culottes Jean in Mid Wash,"Rs.3,490",//attirstore.com/cdn/shop/files/IMG_7891copy.jpg?v=1709726352&width=533,/products/culottes-jean-in-acid-wash-ss24
827,Culottes Trousers in White,"Rs.2,990",//attirstore.com/cdn/shop/files/IMG_8410copy.jpg?v=1709741137&width=533,/products/culottes-trousers-in-white
828,Culottes Trousers in Beige,"Rs.2,390",//attirstore.com/cdn/shop/files/IMG_8148copy.jpg?v=1709744647&width=533,/products/culottes-trousers-in-beige
829,Straight-Fit Ribbed Pyjama Trouser in Black,"Rs.2,490",//attirstore.com/cdn/shop/files/IMG_9332copy.jpg?v=1709742540&width=533,/products/straight-fit-ribbed-trouser-in-black-ss24
830,Straight-Fit Pyjama Trouser in Forest Green,"Rs.1,990",//attirstore.com/cdn/shop/files/IMG_9763copy.jpg?v=1709745833&width=533,/products/straight-fit-trouser-in-forest-green-ss24
831,Straight-Fit Pyjama Trouser in Navy Blue,"Rs.1,990",//attirstore.com/cdn/shop/files/IMG_9595.jpg?v=1709752204&width=533,/products/straight-fit-trouser-in-navy-blue-ss24
832,Wide-leg Trousers in Black,"Rs.2,990",//attirstore.com/cdn/shop/files/IMG_8564copy.jpg?v=1709746862&width=533,/products/wide-leg-trousers-in-black
833,Straight-Fit Pants in Flamingo,"Rs.3,290",//attirstore.com/cdn/shop/files/IMG_9840copy.jpg?v=1709746532&width=533,/products/straight-fit-pants-in-flamingo-women
834,Wide Leg Pleated Pants in Sand,"Rs.5,490",//attirstore.com/cdn/shop/files/IMG_8082copy_f7a5df8e-5fb8-45a0-9e1b-f2c6272c12e6.jpg?v=1709743404&width=533,/products/wide-leg-pleated-pants-in-sand-ss24
835,High-Waist Mom Jeans in Black,"Rs.3,490",//attirstore.com/cdn/shop/products/14_bb769c1f-6e8b-4aba-b650-60b403174edf.jpg?v=1678361474&width=533,/products/high-waist-mom-jeans-in-black
