Name,Price,Image,Link
SHORT SHIRT WITH STRETCHY BACK,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/short-shirt-with-stretchy-back-was24tp027-white
JACKIE FORMAL TROUSERS,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/jackie-formal-trouser-was24bt001-pink
ABSTRACT STRIPED SHIRT,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/abstract-striped-shirt-was24tp003-white
STRIPED EASY PANTS,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/striped-easy-pants-was24bt013-blue
WIDE-NECK TEE,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/wide-neck-tee-was24tp018-white
RETRO SILK BUTTON DOWN,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/retro-silk-button-down-was24tp007-black
RETREAT SUMMER SLIDES,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/retreat-summer-slides-wfs24sl002-black
JACKIE OVERSIZED SHIRT,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/jackie-oversized-shirt-was24tp075-pink
MIDI HOLIDAY DRESS,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/midi-holiday-dress-was24dr003-black
TWO WAY STRIPED SHIRT,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/two-way-striped-shirt-was24tp004-beige
CROPPED BAND TOP,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/cropped-band-top-was24tp038-black
POPLIN SHACKET,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/poplin-shacket-crfwst0052-dark-grey
PATCH STRIPED SHIRT,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/patch-striped-shirt-was24tp025-blue
MINIMAL DAILY SLIDES,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/minimal-daily-slides-wfs24sl039-beige
TWO WAY STRIPED SHIRT,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/two-way-striped-shirt-was24tp004-white
CURVE STRIPED PANTS,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/curve-striped-pants-was24bt032-green
WIDE STRIPED PANTS,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/wide-striped-pants-was24bt015-blue
CURVE SLOUCHY PANTS,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/curve-slouchy-pants-was24bt007-beige
CONTRAST COLLAR BUTTON DOWN,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/contrast-collar-button-down-was24tp023-blue
STRETCHY SHIRT,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/stretchy-shirt-was24tp033-green
KNIT STRAPPY TOP,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/knit-strappy-top-was24tp015-white
ANKLE CROPPED SLIM JEANS,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/ankle-cropped-slim-jeans-was24bt056-mid-blue
OVERSIZED T-SHIRT WITH PRINT,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/oversized-t-shirt-with-print-was24tp043-white
HIGH WAIST STRAIGHT JEANS,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/high-waist-straight-jeans-was24bt021-light-blue
FITTED PARTY TEE,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/fitted-party-tee-was24tp030-navy
